filePath,className,methodName
org/apache/commons/collections/set/PredicatedSortedSet,PredicatedSortedSet,PredicatedSortedSet
org/apache/commons/collections/set/TransformedSet,TransformedSet,decorate
org/apache/commons/collections/set/TransformedSet,TransformedSet,decorate
org/apache/commons/collections/set/TransformedSet,TransformedSet,TransformedSet
org/apache/commons/collections/set/TransformedSet,TransformedSet,TransformedSet
org/apache/commons/collections/set/PredicatedSet,PredicatedSet,PredicatedSet
org/apache/commons/collections/set/PredicatedSet,PredicatedSet,PredicatedSet
org/apache/commons/collections/CollectionUtils,CollectionUtils,containsAny
org/apache/commons/collections/CollectionUtils,CollectionUtils,containsAny
org/apache/commons/collections/CollectionUtils,CollectionUtils,addAll
org/apache/commons/collections/CollectionUtils,CollectionUtils,addAll
org/apache/commons/collections/CollectionUtils,CollectionUtils,addAll
org/apache/commons/collections/CollectionUtils,CollectionUtils,addAll
org/apache/commons/collections/CollectionUtils,CollectionUtils,addAll
org/apache/commons/collections/CollectionUtils,CollectionUtils,addAll
org/apache/commons/collections/bag/SynchronizedSortedBag,SynchronizedSortedBag,decorate
org/apache/commons/collections/bag/UnmodifiableSortedBag,UnmodifiableSortedBag,decorate
org/apache/commons/collections/bag/UnmodifiableBag,UnmodifiableBag,decorate
org/apache/commons/collections/collection/UnmodifiableBoundedCollection,UnmodifiableBoundedCollection,decorate
org/apache/commons/collections/collection/SynchronizedCollection,SynchronizedCollection,decorate
org/apache/commons/collections/buffer/SynchronizedBuffer,SynchronizedBuffer,decorate
org/apache/commons/collections/buffer/UnmodifiableBuffer,UnmodifiableBuffer,decorate
org/apache/commons/collections/buffer/BlockingBuffer,BlockingBuffer,decorate
org/apache/commons/collections/buffer/BlockingBuffer,BlockingBuffer,BlockingBuffer
org/apache/commons/collections/map/DefaultedMap,DefaultedMap,DefaultedMap
org/apache/commons/collections/map/MultiKeyMap,MultiKeyMap,decorate
org/apache/commons/collections/map/ListOrderedMap,ListOrderedMap,decorate
org/apache/commons/collections/set/ListOrderedSet,ListOrderedSet,decorate
org/apache/commons/collections/set/MapBackedSet,MapBackedSet,decorate
org/apache/commons/collections/bidimap/UnmodifiableOrderedBidiMap,UnmodifiableOrderedBidiMap,decorate
org/apache/commons/collections/bidimap/UnmodifiableSortedBidiMap,UnmodifiableSortedBidiMap,decorate
org/apache/commons/collections/bidimap/UnmodifiableBidiMap,UnmodifiableBidiMap,decorate
org/apache/commons/collections/BufferUtils,BufferUtils,unmodifiableBuffer
org/apache/commons/collections/bag/TransformedBag,TransformedBag,decorateTransform
org/apache/commons/collections/bag/TransformedBag,TransformedBag,decorateTransform
org/apache/commons/collections/bag/PredicatedBag,PredicatedBag,decorate
org/apache/commons/collections/bag/PredicatedBag,PredicatedBag,decorate
org/apache/commons/collections/bag/TransformedSortedBag,TransformedSortedBag,decorateTransform
org/apache/commons/collections/bag/TransformedSortedBag,TransformedSortedBag,decorateTransform
org/apache/commons/collections/bag/PredicatedSortedBag,PredicatedSortedBag,decorate
org/apache/commons/collections/bag/PredicatedSortedBag,PredicatedSortedBag,decorate
org/apache/commons/collections/collection/TransformedCollection,TransformedCollection,decorateTransform
org/apache/commons/collections/collection/TransformedCollection,TransformedCollection,decorateTransform
org/apache/commons/collections/collection/PredicatedCollection,PredicatedCollection,decorate
org/apache/commons/collections/collection/PredicatedCollection,PredicatedCollection,decorate
org/apache/commons/collections/buffer/TransformedBuffer,TransformedBuffer,decorateTransform
org/apache/commons/collections/buffer/TransformedBuffer,TransformedBuffer,decorateTransform
org/apache/commons/collections/buffer/PredicatedBuffer,PredicatedBuffer,decorate
org/apache/commons/collections/buffer/PredicatedBuffer,PredicatedBuffer,decorate
org/apache/commons/collections/list/TransformedList,TransformedList,decorateTransform
org/apache/commons/collections/list/TransformedList,TransformedList,decorateTransform
org/apache/commons/collections/list/PredicatedList,PredicatedList,decorate
org/apache/commons/collections/list/PredicatedList,PredicatedList,decorate
org/apache/commons/collections/map/DefaultedMap,DefaultedMap,decorate
org/apache/commons/collections/map/DefaultedMap,DefaultedMap,decorate
org/apache/commons/collections/set/TransformedSortedSet,TransformedSortedSet,decorateTransform
org/apache/commons/collections/set/TransformedSortedSet,TransformedSortedSet,decorateTransform
org/apache/commons/collections/set/PredicatedSortedSet,PredicatedSortedSet,decorate
org/apache/commons/collections/set/PredicatedSortedSet,PredicatedSortedSet,decorate
org/apache/commons/collections/set/TransformedSet,TransformedSet,decorateTransform
org/apache/commons/collections/set/TransformedSet,TransformedSet,decorateTransform
org/apache/commons/collections/set/PredicatedSet,PredicatedSet,decorate
org/apache/commons/collections/set/PredicatedSet,PredicatedSet,decorate
org/apache/commons/collections/CollectionUtils,CollectionUtils,isSubCollection
org/apache/commons/collections/CollectionUtils,CollectionUtils,isSubCollection
org/apache/commons/collections/CollectionUtils,CollectionUtils,isEqualCollection
org/apache/commons/collections/CollectionUtils,CollectionUtils,isEqualCollection
org/apache/commons/collections/CollectionUtils,CollectionUtils,addAll
org/apache/commons/collections/CollectionUtils,CollectionUtils,addAll
org/apache/commons/collections/BufferUtils,BufferUtils,predicatedBuffer
org/apache/commons/collections/BufferUtils,BufferUtils,predicatedBuffer
org/apache/commons/collections/BufferUtils,BufferUtils,transformedBuffer
org/apache/commons/collections/BufferUtils,BufferUtils,transformedBuffer
org/apache/commons/collections/CollectionUtils,CollectionUtils,union
org/apache/commons/collections/CollectionUtils,CollectionUtils,union
org/apache/commons/collections/CollectionUtils,CollectionUtils,intersection
org/apache/commons/collections/CollectionUtils,CollectionUtils,intersection
org/apache/commons/collections/CollectionUtils,CollectionUtils,subtract
org/apache/commons/collections/CollectionUtils,CollectionUtils,subtract
org/apache/commons/collections/CollectionUtils,CollectionUtils,predicatedCollection
